Name,Retail Price,Wholesale Price,Quantity
Mirror Led,1050,900.0,5
Mosco Ado. 20mm,0,350.0,7
Mosco Ado.25mm,0,300.0,7
Mosco Adopter 15mm,0,580.0,0
Mosco Angle Valve,0,460.0,8
Mosco Angle Valve Squire,90,72.0,0
Mosco Bib Cock,0,440.0,31
Mosco Bib Cock Squire,90,72.0,29
Mosco Connection 18'',60,50.0,8
Mosco Connection 24'',70,60.0,9
Mosco Connection 36'',100,82.0,0
Mosco Long Bend,70,60.0,48
Mosco Long Body,0,560.0,9
Mosco Long Body Squire,100,85.0,9
Mosco Nozzle Cock,0,480.0,1
Mosco Pillar Cock,50,46.67,73
Mosco Sink Cock,150,130.0,35
Mosco Swanneck,150,130.0,24
Mosco Waste Jali,30,20.84,102
Mosco Waste Pipe,70,60.0,221
Mosco Waste Pipe Mezic,50,41.0,101
Nozzle Cock Matrix,150,140.0,109
Nozzle CP Female,40,26.0,166
Nozzle CP Male,40,26.0,67
Nozzle Female,25,22.0,36
Nozzle Mala,30,22.0,78
Nut Dual Flash,120,80.0,72
One Pcs Ball Cock China,150,90.0,10
One Pcs Ball Cock R,250,180.0,19
One Pcs Button,100,50.0,86
One Pcs Fitting,550,400.0,0
One Pcs Fitting ,400,250.0,9
One Pcs Fitting 7'',600,400.0,48
One Pcs Fitting 8'',600,400.0,15
One Pcs Fitting10'',600,400.0,39
One Pcs Fitting11'',600,400.0,11
One Pcs Fitting9'',600,400.0,50
Paper Holder A,150,100.0,35
polner Paper Holder ,510,380.0,28
Pest Holder,150,110.0,27
Polner  Double Soap Dish No.5,594,445.0,12
Polner dispenser b-3,678,508.0,10
Polner Dispenser No.3,594,445.0,2
Polner double soap dish b-5,708,531.0,1
Polner napkin ring no7,438,328.0,42
Polner rob hook b-4,330,247.0,5
Polner soap dish b-1,414,310.0,27
Polner Soap Dish No.1,357,268.0,27
Polner Soap Dish With Tumbler No.6,759,570.0,8
Polner soap-tumbler b-6,816,612.0,6
Polner Towel Rack,1560,1170.0,11
Polner Towel Rod 24'',594,445.0,9
Polner Tumbler No.2,534,400.0,7
Polner tumbler b-2,594,445.0,10
Pup Up Waste Jail  6'',350,250.0,57
Pup Up Waste Jail 4'',280,180.0,140
Pup Up Waste Jail 4'' Ceramic,400,240.0,18
Pup Up Waste Jail 4'' Heavy,550,350.0,20
Pup Up Waste Jail 6'' Ceramic Heavy,750,500.0,0
Pup Up Waste Jail 8'' Ceramic,950,750.0,2
Pup Up Waste Jail 8'' Heavy,850,700.0,10
Push Cock  Brass,180,150.0,39
Push Cock For Urinal,250,200.0,24
Push Cock Sparrow,250,220.0,74
R.O Knob Heavy,50,40.0,90
R.O Knob Medium,45,35.0,146
R.O Nippal,90,70.0,12
R.O Set,120,98.0,52
Rod For Ball Cock Brass,70,55.0,15
Shelf Glass 16'',190,170.0,12
Shelf Glass 18'',200,180.0,6
Shelf Glass Brass,520,450.0,21
Shelf Multy  No. 4005,700,650.0,0
Shelf Multy SS,1000,900.0,3
Shelf Multy SS No;4008,1150,1000.0,4
Shelf Ss 12'',300,220.0,27
Shelf Ss 14'',350,280.0,2
shelf ss 16'',380,300.0,73
Shower  Ultra 6'',300,150.0,112
Shower 3'',200,110.0,8
Shower 8'' Stage  Ultra,450,240.0,15
Shower Brass Komal,450,350.0,0
Shower Brass Sagar,680,550.0,6
Shower China 8'',400,350.0,3
Shower Collar D/B 12'',1700,1220.0,9
Shower Collar D/B 6'',650,380.0,30
Shower Collar D/B 8''',850,580.0,50
Shower Collar Stage 6'',650,380.0,27
Shower Laksh 6'',300,200.0,4
Shower Maze 10'',1800,1400.0,10
Shower Maze D/B 12'',1900,1750.0,10
Shower Maze D/B 8''',1200,780.0,60
Shower Maze D/B6'',750,580.0,32
Shower Rod  Round 24'',300,180.0,1
Shower Rod 12'' SS,150,100.0,0
Shower Rod 15'' SS,170,115.0,56
Shower Rod 18  Brass,750,550.0,11
Shower Rod 18'' Brass Nov,300,180.0,4
Shower Rod 18'' SS,200,130.0,97
Shower Rod 24'' SS,350,200.0,24
Shower Rod 9'' SS,100,85.0,8
Shower Rod 9'' SS Round,70,50.0,66
Shower Rod Round 15'',130,90.0,63
Shower Rod Round 18'',160,100.0,69
Shower Rod Round 3/4'' 12'',180,120.0,3
Shower Rod Round 9'',60,50.0,0
Shower Round D/B 8'' ,1200,780.0,56
Shower Tubes 1 Mtr. R Key,200,160.0,26
Shower Tubes 1.5Mtr.,260,160.0,105
Shower Tubes 1.5Mtr. Rekey,250,180.0,20
Shower Tubes 1Mtr. ,220,140.0,220
Shower Tubes 1Mtr. Lite,120,80.0,6
Shower Tubes 1Mtr. Tiger,150,100.0,135
Shower Tubes N.V 1 Mtr.,300,195.0,20
Shower Ultra 12'',900,750.0,0
Shower Ultra 4'' ,200,100.0,158
Shower Ultra 4'' Red Lite,100,70.0,164
Shower Ultra 6'' Red Lite,150,100.0,91
Shower Ultra 8'' Red Lite,250,150.0,40
Silicon,150,125.0,0
Sink Jali 3'',60,37.0,125
Sink Jali 4'',80,42.0,303
Sink Jali 4'' SS,150,80.0,50
Sink Jali Sqr.,200,130.0,22
Sink Jali SS 3'',200,120.0,11
Soap Dish  Double,150,110.0,0
Soap Dish lite,100,65.0,31
Soap Dispenser  Kingvictoria,200,150.0,3
Soap Dispenser Capsule Black ,150,120.0,0
Soap Dispenser Capsule White ,150,120.0,133
Soap Dispenser Foam,450,400.0,3
Soap Dispenser SS,350,300.0,31
Soap Dispenser Victoria,250,180.0,54
soap dish brass H,350,280.0,65
Spout  Lite,480,375.0,20
Spout Aria 3/4'' Long,700,640.0,1
Spout Qubix,580,490.0,20
Taps Angle Valve Tikona,200,180.0,32
Taps Aria  Wall Mounted Single Lever,1950,1800.0,1
Taps Aria 2 Way Angle Valve,722,750.0,7
Taps Aria 2 Way Bib Cock,750,780.0,0
Taps Aria Angle Valve,380,360.0,18
Taps Aria Bend Mixer,1850,1800.0,3
Taps Aria Bend Mixer 3 Way,2200,2100.0,2
Taps Aria Bib Cock,400,405.0,6
Taps Aria Center Hall Mixer,1500,1300.0,1
Taps Aria Center Hole Mixer Single Lever,1500,1425.0,7
Taps Aria Long Body,440,440.0,90
Taps Aria Pillar Cock,680,650.0,9
Taps Aria Pillar Cock 12'',1300,1150.0,3
Taps Aria Sink Cock,900,840.0,12
Taps Aria Sink Mixer,1600,1450.0,1
Taps Aria Sink Mixer Long,1800,1500.0,0
Taps Aria Swan Neck,900,840.0,45
Taps Aria Swan Neck Long,980,925.0,16
Taps Aria Table Mounted Sink Mixer,1950,1800.0,15
Taps Aria Tall Body 12'',2050,2000.0,10
Taps B6 2 Way Angle Valve,480,480.0,11
Taps B6 2 Way Bib Cock,0,0.0,0
Taps B6. Bib Cock,290,270.0,3
Taps B6. Sink Mixer,1250,1217.0,5
Taps B6. Swan Neck,550,520.0,0
Taps B6.Angle Valve,250,230.0,48
Taps B6.Bend Mixer,1480,1480.0,19
Taps B6.Center Hall Mixer,1050,950.0,16
Taps B6.Long Body,300,280.0,116
Taps B6.Pillar Cock,400,380.0,9
Taps B6.Sink Cock,550,520.0,1
Taps Bat  Sink Mixer,1650,1567.0,0
Taps Bat 2 Way Angle Valve,580,599.0,15
Taps Bat 2 Way Bib Cock,790,764.0,13
Taps Bat Angle Valve,380,360.0,125
Taps Bat Bend Mixer,1850,1870.0,14
Taps Bat Bib Cock,400,400.0,22
Taps Bat Center Hall Mixer,1250,1200.0,8
Taps Bat Consealed15mm,600,550.0,7
Taps Bat Consealed20mm,650,600.0,0
Taps Bat Long Body,440,440.0,67
Taps Bat Pillar Cock,480,440.0,33
Taps Bat Sink Cock,900,850.0,11
Taps Bat Swanneck,950,913.0,10
Taps Md. Angle Valve,300,280.0,22
Taps Md. Bib Cock,320,300.0,53
Taps Md. Long Body,350,320.0,22
Taps Md. Nozzle Cock,350,320.0,48
Taps Md. Washing Machine,350,320.0,15
Taps Misty 2 Way Angle Valve,480,440.0,0
Taps Misty 2 Way Bib Cock,580,540.0,25
Taps Misty Angle Valve,250,230.0,108
Taps Misty Bend Mixer,1480,1480.0,5
Taps Misty Bib Cock,290,275.0,51
Taps Misty Center Hall Mixer,1050,900.0,19
Taps Misty Concealed 15mm,450,400.0,67
Taps Misty Concealed 20mm,550,450.0,2
Taps Misty Long Body,300,290.0,6
Taps Misty Pillar Cock,400,380.0,0
Taps Misty Sink Cock,550,480.0,6
Taps Misty Sink Mixer,1250,1100.0,6
Taps Misty Swanneck,550,500.0,4
Taps Orio 2 Way Angle Valve,450,375.0,23
Taps Orio 2Waybib Cock,450,375.0,25
Taps Orio Angle Valve,180,160.0,248
Taps Orio Bend Mixer,1400,1100.0,12
Taps Orio Center Hall Mixer,1000,750.0,23
Taps Orio Concealed 15mm,380,280.0,57
Taps Orio Long Body,220,200.0,66
Taps Orio Nozzle Cock,250,200.0,30
Taps Orio Pillar Cock,0,0.0,0
Taps Orio Sink Cock,450,320.0,56
Taps Orio Sink Mixer,1200,900.0,12
Taps Orio Swan Neck,450,310.0,15
Taps Orio Wall Mixer Non Telephonic,0,0.0,0
Taps Orio Washing Machine Tap,250,200.0,1
Taps Paras 2 Way Angle,750,708.0,6
Taps Paras 2 Way Bib Cock,800,781.0,9
Taps Paras Angle Valve,410,380.0,21
Taps Paras Bend Mixer,1850,2050.0,1
Taps Paras Bib Cock,450,418.0,12
Taps Paras Center Hall Mixer,1500,1450.0,5
Taps Paras Long Body,520,583.0,24
Taps Paras Pillar Cock,750,680.0,4
Taps Paras Sink Cock,790,704.0,0
Taps Paras Sink Mixer,1650,1562.0,1
Taps Paras Swan Neck,790,750.0,10
Taps Stone Center Hole Mixer,1100,950.0,5
Taps Turbo Angle Valve,200,180.0,0
Teflon Tape Astral,15,11.0,359
Teflon Tape Lite,8,4.8,8560
Tip Top Ball Cock Classic,70,50.0,1102
Tip Top Ball Cock Deluxe,180,115.0,109
Tip Top Cistern Fitting  Classic,300,220.0,196
Tip Top Cistern Fitting Dual Flush,950,825.0,16
Tip Top Cistern Fitting One Piece,780,680.0,1
Tip Top Cistern Fitting Top Lifting,750,600.0,9
Tip Top Cistern Handle Classic,70,45.0,15
Tip Top Cistern Handle Deluxe,80,50.0,0
Tip Top Cistern Ivy,600,520.0,6
Tip Top Cistern Sky Line,750,700.0,7
Tip Top Cistern Slim-Sleek,550,500.0,69
Tip Top One Piece Ball Cock,250,160.0,20
Tip Top Push Cock,70,54.0,71
Tip Top Seat Cover Classic Ivy,310,250.0,0
Tip Top Seat Cover Classic White,300,240.0,55
Tip Top Seat Cover Clover Hydraulic Ivy,700,600.0,3
Tip Top Seat Cover Clover Hydraulic W,700,600.0,12
Tip Top Seat Cover Codi Hydraulic Ivy,700,600.0,3
Tip Top Seat Cover Codi Hydraulic W,700,600.0,20
Tip Top Seat Cover Ewc Hydraulic Ivy,700,600.0,3
Tip Top Seat Cover Ewc Hydraulic W,700,600.0,7
Tip Top Seat Cover Square Hydraulic Ivy,700,600.0,3
Tip Top Seat Cover Square Hydraulic W,700,600.0,6
Tip Top Shower 3'',300,250.0,0
Tip Top Shower 5'',400,325.0,11
Tip Top Shower 6'',450,350.0,5
Tip Top Shower 8'',550,450.0,1
Tip Top Syphon Classic,160,115.0,116
Tip Top Syphon Washer S.D,50,30.0,18
Tip Top Taps 2Way Angle Valve PP,150,130.0,31
Tip Top Taps 2Way Bib Cock PP,150,130.0,0
Tip Top Taps Angle Valve Deluxe,80,66.67,55
Tip Top Taps Angle Valve PP,70,50.0,74
Tip Top Taps Angle Valve Ptmt,150,150.0,23
Tip Top Taps Bib Cock Deluxe,80,66.67,84
Tip Top Taps Bib Cock PP,70,50.0,312
Tip Top Taps Bib Cock Ptmt,170,170.0,28
Tip Top Taps Long Body Deluxe,100,81.66,95
Tip Top Taps Long Body PP,80,62.5,1
Tip Top Taps Long Body Ptmt,180,180.0,34
Tip Top Taps Nozzle Cock PP,70,54.0,12
Tip Top Taps Pillar Cock Deluxe,100,82.0,59
Tip Top Taps Pillar Cock PP,80,62.5,36
